tweet_id,text,previous_context,predicted_intent,retrieved_evidence,generated_reply,human_relevance,human_helpfulness,human_groundedness,human_clarity,human_unsupported_claims,human_overall,human_notes
612749,@AmazonHelp Did. No response from Seller and Amazon. will file a dispute with CC and will return and charge a cashback.,@265727 That's very unusual. Please report this here: https://t.co/rS49hgaADF so that our team can assist you accordingly. ^BV,REFUND_RETURN,"--- Example 1 (Similarity: 0.52) ---
Customer: @AmazonHelp I already did but no response
Historical Agent: @125706 Was the order placed on Amazon.in or https://t.co/nUUp5MLhYl ? ^MK

--- Example 2 (Similarity: 0.52) ---
Customer: @AmazonHelp I did that but no response
Historical Agent: @170029 Thank you for providing your details. We will get back at the earliest.^SB

--- Example 3 (Similarity: 0.52) ---
Customer: @AmazonHelp I did this and no response.
Historical Agent: @205062 If you've shared the required details on the link provided earlier you must have received an update from us. (1/2)",@205062 If you've shared the required details on the link provided earlier you must have received an update from us. (1/2) ^AI,,,,,,,
270927,@AmazonHelp It was shipped and sold by Amazon.,@180631 (2/2) replace specific parts. Please keep us posted on the outcome of your call tomorrow. ^MV,DELIVERY_SHIPPING,"--- Example 1 (Similarity: 1.00) ---
Customer: @AmazonHelp shipped and sold through amazon.
Historical Agent: @639861 Thank you for the information Amanda. You'll be able to find return or replacement options if available at this link here: https://t.co/t3CSGgxgog ^VS

--- Example 2 (Similarity: 1.00) ---
Customer: @AmazonHelp Shipped and sold by Amazon
Historical Agent: @809824 Thanks for the information! Please let us know if you don't receive your package by the updated delivery date given from your confirmation e-mail.  You can reach us here as well if anything further is needed: https://t.co/hApLpMlfHN ^MO

--- Example 3 (Similarity: 1.00) ---
Customer: @AmazonHelp Shipped and sold by Amazon.
Historical Agent: @426049 We're happy to review the order and any available options with you directly here: https://t.co/hApLpMlfHN ^JR",I understand your issue regarding delivery shipping. @639861 Thank you for the information Amanda. You'll be able to find return or replacement options if available at this link here: https://t.co/t3CSGgxgog ^AI,,,,,,,
1223698,@AmazonHelp I'd like to know why you don't require a card's CVV number when registering it on a profile.,@407072 Can I ask for more info on the issue you have with our payment system so we can assist you further. Thank you. ^GA,PAYMENT_BILLING,"--- Example 1 (Similarity: 0.33) ---
Customer: @AmazonHelp I would like to know when is my brother package coming? I don’t know the tracking number
Historical Agent: @771017 I'm sorry. We don't have any information about the order via Twitter. For insight, you can have your brother log in at this link to check the current status of his order: https://t.co/Y5jpI9gRhE ^WT

--- Example 2 (Similarity: 0.32) ---
Customer: @AmazonHelp I would like to know if I can get 5.1 content with Fire TV stick.?
Historical Agent: @353503 Hi - are you referring to 5.1 Audio? If so, yes. Pls see : https://t.co/WVokgxvwlx  ^TD

--- Example 3 (Similarity: 0.32) ---
Customer: @AmazonHelp Like when?
Historical Agent: @144294 Sorry that this is taking longer than expected. The issue is being looked into. I would request you to keep an eye on the e-mails and respond to the correspondence sent by the team. ^KK","I understand your issue regarding payment billing. @771017 I'm sorry. We don't have any information about the order via Twitter. For insight, you can have your brother log in at this link to check the current status of his order: https://t.co/Y5jpI9gRhE ^AI",,,,,,,
2614173,@AmazonHelp I didn't get Amazon keychain on prime renewal ..please arrange one,,PRIME_SUBSCRIPTION,"--- Example 1 (Similarity: 0.36) ---
Customer: @AmazonHelp I have and they didn’t
Historical Agent: @143189 I'm sorry to hear this JJ. What were you advised when you contacted us about this? ^MI

--- Example 2 (Similarity: 0.36) ---
Customer: @AmazonHelp No I didn’t.
Historical Agent: @302782 I can understand why you're frustrated, Tamsin! While we can't access order details via Twitter, we want to ensure the delay is addressed. Please reach us once more via phone/chat here: https://t.co/JzP7hlA23B ^CS

--- Example 3 (Similarity: 0.36) ---
Customer: @AmazonHelp No I didn't
Historical Agent: @791889 Mhm that is strange! When you checked for the e-mail did you also check the spam/Junk folder? ^LS",I understand your issue regarding prime subscription. @143189 I'm sorry to hear this JJ. What were you advised when you contacted us about this? ^AI,,,,,,,
1401350,@AmazonHelp are you having a laugh?! I've tried to cancel this order so many times!!!!!!!!! Still hasn't arrived!!! https://t.co/61DbnQxRZj,,ORDER_MODIFICATION,"--- Example 1 (Similarity: 0.44) ---
Customer: @AmazonHelp please tell your having a laugh???? 😡😡😡😡 https://t.co/7EsXbEt6jw
Historical Agent: @466376 Hi, sorry to see that. Please contact us here: https://t.co/JzP7hlA23B to look into this further. ^JJ

--- Example 2 (Similarity: 0.38) ---
Customer: When you order sage tablets for menopause symptoms and receive ovulation tests instead @AmazonHelp someone is having a laugh!!
Historical Agent: @442563 Hi. My apologies for this. If you get in touch: https://t.co/JzP7hlA23B, we'll be happy to help. ^DC

--- Example 3 (Similarity: 0.38) ---
Customer: @AmazonHelp Are you having a laugh.. now the only item due today is now coming tomorrow. 🖕
Historical Agent: @295193 Thanks for the update. Please keep us updated on the arrival of your package. We're here to help. ^LH","I understand your issue regarding order modification. @466376 Hi, sorry to see that. Please contact us here: https://t.co/JzP7hlA23B to look into this further. ^AI",,,,,,,
2199057,"@115821 nfl doesn’t steam on my fire 4K tv :( I️ have prime, great internet :(",,PRIME_SUBSCRIPTION,"--- Example 1 (Similarity: 0.41) ---
Customer: @115850 @128308 bro, get 4K fire TV !
Historical Agent: @169498 Thanks for your interest. I'll be sure to pass on your feedback. ^AK

--- Example 2 (Similarity: 0.34) ---
Customer: @115850 when will the 4k fire tv stick launch in India?
Historical Agent: @307263 We do not have an announcement yet for the requested information. ^KA

--- Example 3 (Similarity: 0.31) ---
Customer: @115821 what's this about a 49 inch 4k tv for $159 today? I want it but can't find it on your site! Help?
Historical Agent: @149066 Hi Casey! All deals are advertised on the website, if the deal has expired/sold out, you won't be able to find it. Apologies if this has caused any inconvenience. ^JC",I understand your issue regarding prime subscription. @169498 Thanks for your interest. I'll be sure to pass on your feedback. ^AI,,,,,,,
1572936,Inflation is getting out of hand. @115850 https://t.co/RZL3ckKz5h,,OTHER,"--- Example 1 (Similarity: 0.53) ---
Customer: Getting the first hand experience on how badly customers are treated after sales @115850  @76349
Historical Agent: @564054 We're sorry to hear that, Akash. Please tell us what happened and we'll get right on it. ^HK

--- Example 2 (Similarity: 0.48) ---
Customer: @115850 What is this??😂 https://t.co/4ZhitfrO2e
Historical Agent: @339213 Thank you for flagging this. We'll get this rectified. ^SU

--- Example 3 (Similarity: 0.48) ---
Customer: @115850 https://t.co/r1NouLsKgJ
Historical Agent: @672744 Hi, you can check this link: https://t.co/WGojUuU8vO for the most related items. ^VM","I understand your issue regarding other. @564054 We're sorry to hear that, Akash. Please tell us what happened and we'll get right on it. ^AI",,,,,,,
946527,@AmazonHelp Until Wednesday to sort it out. But this happened again with a game I pre-ordered a couple of weeks back which didn’t arrive at all which...,@AmazonHelp Basically I pre-ordered the new Assassins Creed for Xbox then it didn’t arrive on the day it was meant to i.e Friday. So I have to wait..,DELIVERY_SHIPPING,"--- Example 1 (Similarity: 0.38) ---
Customer: @AmazonHelp Last Wednesday
Historical Agent: @158930 Which platform did you place your order for? ^LB

--- Example 2 (Similarity: 0.38) ---
Customer: @AmazonHelp Last Wednesday.
Historical Agent: @523261 When you contacted us, what information or options were provided for the order? ^TH

--- Example 3 (Similarity: 0.38) ---
Customer: @AmazonHelp last Wednesday
Historical Agent: @330805 We want to help get this sorted out! By Wednesday, do you mean October 11, or October 18? Keep us posted! ^EA",I understand your issue regarding delivery shipping. @428166 I'm sorry you haven't received it! We'd like to see what we can do to help so please reach us here: https://t.co/hApLpMlfHN ^AI,,,,,,,
2902516,@AmazonHelp I don't expect Amazon to replace something that they didn't damage. It was the US Postal Service that damaged the goods by their delivery method.,@445598 Were we unable to replace it when you used the self-help link previously provided? If you need additional help please contact us by phone or chat here: https://t.co/hApLpMlfHN Let us know how it goes! ^DA,DAMAGED_MISSING_ITEM,"--- Example 1 (Similarity: 0.26) ---
Customer: @115850 their delivery system is like Indian Postal service. The only difference is that Indian Postal service doesn’t boast about it.
Historical Agent: @467057 Apologies, you can reach out to us here: https://t.co/vlvfJr4nN9 and we'll be glad to help you. ^SI

--- Example 2 (Similarity: 0.25) ---
Customer: I thought UPS was the worst delivery method, but I forgot about Amazon Logistics 😠 #effthis
Historical Agent: @713645 Would you mind telling us what's going on? Are you having trouble with a current delivery? Please don't include any account details. ^RA

--- Example 3 (Similarity: 0.25) ---
Customer: @115830 @116324  Is this your new delivery method? #anywherewilldo #newlaptopthrownovergate https://t.co/xk0dTbjXMm
Historical Agent: @775646 I'm so sorry for this poor experience, Jenni! Is the laptop okay? ^WJ","I understand your issue regarding damaged missing item. @195361 I'm sorry for the inconvenience in delivering this order, being a social platform we'll not be able to arrange 1/2 ^AI",,,,,,,
865804,@AmazonHelp Today.  I was home.  Couldn't deliver???  Can't cancel order??? You guys are pathetic.  @AmazonHelp,"@AmazonHelp No, your representatives were completely unhelpful.  Told me I could ""cancel my membership if that's what made me happy.""",ORDER_MODIFICATION,"--- Example 1 (Similarity: 0.39) ---
Customer: @AmazonHelp That’s why you guys are pathetic
Historical Agent: @579927 We've cross-checked this and see a correspondence being sent to you on 17th November which can be found here: https://t.co/NTkrxpsbHJ. We suggest you to share your details on the link provided earlier if you aren't able to find one. ^YP

--- Example 2 (Similarity: 0.31) ---
Customer: @AmazonHelp No, today
Historical Agent: @133240 We'd like to take a closer look into the delivery. Please contact us here: https://t.co/JzP7hlA23B ^LI

--- Example 3 (Similarity: 0.31) ---
Customer: @AmazonHelp Today
Historical Agent: @533091 Were you sent an email about the delay that gave insight? Be sure to check SPAM just in case, it sometimes goes there. ^RM","@821369 I'm sorry for the trouble! We'd like to help. Without providing any personal or account information, please let us know what's going on. ^AI",,,,,,,
