example_id,tweet_id,conversation_id,customer_text,previous_context,intent,difficulty,needs_context,annotation_notes
GOLD_001,863336,863349,@AmazonHelp The goods return to AMAZON SELLER SERVICES and not delivered to me,"@AmazonHelp What I do now, amazon help center not help me I am calling from 15 days regularly on daily basis. Please check india post   AW712266781IN",REFUND_RETURN,easy,False,
GOLD_002,2399207,2399213,@AmazonHelp Do you mean email customer service or use the website to cancel the order. This loaded when I clicked on cancel order. https://t.co/G3p0hhRKvi,@690399 Oh no! Contact us here: https://t.co/JzP7hlA23B so we can help ^AS,ORDER_MODIFICATION,easy,False,
GOLD_003,683810,683810,"Big thanks to .@115830 for failing to deliver yesterday, no satisfactory reason given. Item was a gift, now cancelled the order and my Prime membership is also cancelled, bye 👋🏻",,PRIME_SUBSCRIPTION,easy,False,
GOLD_004,545729,545731,@AmazonHelp Don't hear from the 3rdparty seller in 2business days.Every time i call back it's the same thing.The last time i called they said they filed a claim&amp; i should hear something in 24 hours that was the 15th of November. Still nothing.Called this morning&amp;they hung up after 20min hold,"@246876 We'd like to try to help! Without sharing account details with us, will you let us know what's going on? ^AB",CUSTOMER_SERVICE_COMPLAINT,medium,False,
GOLD_005,2830767,2830767,@115830 come back and deliver my package I've been here all day bruv,,DELIVERY_SHIPPING,easy,False,
GOLD_006,1223698,1223704,@AmazonHelp I'd like to know why you don't require a card's CVV number when registering it on a profile.,@407072 Can I ask for more info on the issue you have with our payment system so we can assist you further. Thank you. ^GA,PAYMENT_BILLING,easy,False,
GOLD_007,1050383,1050383,You hear that? The hills are alive with the sound of deals! Save up to $100 on select Sonos products: https://t.co/4fm2AuNASF https://t.co/TxVD9Bc49E,,OTHER,hard,False,
GOLD_008,425137,425137,@115850 I have never received this order. Never signed. How come this was delivered to the customer directly? This is fraud...I need my money back. https://t.co/peDYXktzGX,,REFUND_RETURN,easy,False,
GOLD_009,453197,453201,@AmazonHelp Thank you - they took good care of me.  Faith restored! :),@222529 Thanks for the update! This is not what we want you to experience. I'd like to have this investigated by our Amazon Logistics team. Please provide more information with the order here: https://t.co/gdnVtNdip0. ^LH,OTHER,hard,False,
GOLD_010,1018224,1018224,@AmazonHelp @115850 Thank you so much for the worst product as well as worst Your Agent said he can't help me talked with rude (1/2),,CUSTOMER_SERVICE_COMPLAINT,medium,False,
GOLD_011,2902516,2874105,@AmazonHelp I don't expect Amazon to replace something that they didn't damage. It was the US Postal Service that damaged the goods by their delivery method.,@445598 Were we unable to replace it when you used the self-help link previously provided? If you need additional help please contact us by phone or chat here: https://t.co/hApLpMlfHN Let us know how it goes! ^DA,DAMAGED_MISSING_ITEM,easy,False,
GOLD_012,150619,150619,@2132 @1894 just got my trizone 6500 and it has a USA plug but I'm in the UK? @AmazonHelp @115830,,OTHER,hard,False,
GOLD_013,1676431,1676426,@AmazonHelp Pas vos delais,"@AmazonHelp C10040234853 et svp ne me dites pas que la livraison sera effectuée le jour prochain ouvré, je veux savoir pourquoi vous ne respectez",OTHER,hard,True,
GOLD_014,671593,671594,"@AmazonHelp It wasn't an update, but does this happen often? It took an hour to 'optimise system storage and applications'!!!","@280251 That's strange; I've checked and see that recently no update has been released for Fire TV. However, please check this with our team here: https://t.co/T6y6Xlutbs and keep us posted. ^VN",OTHER,hard,False,
GOLD_015,2401212,2401212,Shout-out to @AmazonHelp for quickly resolving my hacked account! Reported it 8 hours ago and it's mine again already!,,ACCOUNT_LOGIN,easy,False,
GOLD_016,2199057,2199057,"@115821 nfl doesn’t steam on my fire 4K tv :( I️ have prime, great internet :(",,PRIME_SUBSCRIPTION,easy,False,
GOLD_017,306615,306614,@AmazonHelp Shipping *,@AmazonHelp I paid for one day shopping. Than you email me at 4 am to tell me my package can’t be delivered. On Friday morning the day,DELIVERY_SHIPPING,medium,True,
GOLD_018,1544131,1544131,@119625  no surprise why you update such a flop movie... upload some good movie amd new.,,OTHER,hard,False,
GOLD_019,285119,285119,@AmazonHelp order is not delivered but its showing delivery maybe the delivery executive handed to other person or wrong address https://t.co/oVIjGecruQ,,ORDER_MODIFICATION,easy,False,
GOLD_020,287925,287925,"@115850  , it doesn't feel like #prime, when replatedly the guaranteed delivery dates are missed. 😥",,DELIVERY_SHIPPING,easy,False,
GOLD_021,234175,234205,"@AmazonHelp There's just an option to select yes or no for 'Is your problem resolved?'
Here, check https://t.co/fziqeo8dOp",@171760 We can't directly view your Amazon account. What is the error you are facing while replying back to us? ^CB,OTHER,hard,False,
GOLD_022,2142987,2142987,@115821 is this your version of a joke?  Did you really just send me an empty bag? https://t.co/BonAl7yxIv,,DAMAGED_MISSING_ITEM,easy,False,
GOLD_023,915389,915389,I bought an iPhone 7 from @115850 and got a micromax phone in an intek box. It’s been 7 Days No one picked up the product for replacement.,,OTHER,hard,False,
GOLD_024,1303295,1303293,@AmazonHelp UPS. Thank you!,@424556 Hmm...I apologize for any inconvenience. Who's the carrier for the order? You can check here: https://t.co/Y5jpI9gRhE ^BL,OTHER,hard,True,
GOLD_025,498389,498390,@AmazonHelp Your couriers are always delivering to wrong address and I have to go chase the parcel. Every time! You even got a random signature on a £1000 camera! I had to go hunt it down personally. Amazon Prime is useless. Pointless. Better to go shop in person,"@233972 I'm sorry to hear that you've had a poor delivery experience with us! Without including account or personal information, could you tell us more about what's going on? Do you have an order that has not yet arrived? We want to help! ^SD",ORDER_MODIFICATION,easy,False,
GOLD_026,757164,757165,@AmazonHelp I've just had an email reply saying it was broken in transit.,@176367 Oh no! We'd like to look into this with you directly. Please reach out to us here: https://t.co/JzP7hlA23B. ^AX,DAMAGED_MISSING_ITEM,easy,False,
GOLD_027,1057362,1057376,@AmazonHelp Awaiting Ur resolution..,"@369663 As the details have been shared Aritra, we'll work on it and get back to you at the earliest. ^HN",OTHER,hard,True,
GOLD_028,205103,205104,@115821 Really @115821?! They offered me a solution and then tell me customer service reps can't do that? You probably just lost a prime customer.,"Ordered something, received the wrong thing, and have to wait 11 days for a replacement. Remind me what @115821 prime is for...?",PRIME_SUBSCRIPTION,easy,False,
GOLD_029,2604251,2604251,"@115850 this is the type of customer service and level of compensation:
"" https://t.co/JqmMkSKjBl",,CUSTOMER_SERVICE_COMPLAINT,medium,False,
GOLD_030,1424215,1424215,"#AmazonIndia Product purchased on Oct 9 not delivered yet, refund not received even after many followups. Worst experience with @115850",,REFUND_RETURN,easy,False,
GOLD_031,1530345,961447,@AmazonHelp This is th puppy that was stolen. Her name is Lexi. Please find the guy who took her!! https://t.co/hIDOGMvqHl,@474936 I'm sorry to hear this! Please contact us at the following link: https://t.co/RIRjrahVwr! ^ST,DAMAGED_MISSING_ITEM,easy,False,
GOLD_032,2826440,2826442,"@AmazonHelp Just my bank, not you guys.","@787319 Hi Shelby, really sorry to hear this. Have you been in touch with us regarding this issue? ^JC.",PAYMENT_BILLING,easy,False,
GOLD_033,1373386,1373388,@AmazonHelp I am letting you know.....itnwas sue by 8pm on the 18th...TODAY...its 9:24. Consider this your notification 😳,"@439645 If your order doesn't arrive by the 18th, please let us know. ^JA",OTHER,hard,False,
GOLD_034,807346,807348,@AmazonHelp Hello??,@AmazonHelp You don't need access to my account to give me the information I've asked. They told me to contact head office so what are the details?,ACCOUNT_LOGIN,medium,True,
GOLD_035,2319672,2319676,@AmazonHelp This item was supposed to be delivered on Sept 29. It finally shipped this week. Now it is essentially missing. No communication,@AmazonHelp I wish someone could tell me how this is acceptable and why I should have any confidence that I will ever receive this item. https://t.co/WrzKNKU6dk,DAMAGED_MISSING_ITEM,medium,False,
GOLD_036,2394442,2394442,"@115850 very bad experience with #amazonpay I want to cancel my order and place another. Unlike @122951 , we don’t get money instantly. Worst unable to even cancel my order.",,ORDER_MODIFICATION,easy,False,
GOLD_037,1399885,1399886,@AmazonHelp Thanks. This is what I'm talking about. https://t.co/cjgCG086Dv,@445503 We're curious to know more about this. Please contact us here: https://t.co/rS49hgaADF so that we can assist you. ^JS,OTHER,hard,False,
GOLD_038,1384190,1384190,"Bad experience , not a sense of customer Service or cost saving at all..... @115830 #disappointed",,CUSTOMER_SERVICE_COMPLAINT,medium,False,
GOLD_039,2342047,2342048,@AmazonHelp I had ordered items of total Rs. 970. How could Rs. 1124 get deducted from my bank account? The total of those items was in no way 1124.,@242923 We'd like to help you with your query. May I know if you've reported this to our support team here: https://t.co/vlvfJr4nN9? ^BS,PAYMENT_BILLING,easy,False,
GOLD_040,510294,510294,I used to love you @115821 but now I have to live 30 days without making a phone call.,,CUSTOMER_SERVICE_COMPLAINT,medium,False,
GOLD_041,440937,440939,@AmazonHelp Still a nuisance - I deliberately chose delivery rather than pickup.,@219618 Hi Renata- It would depend on which fulfillment center the item is coming from and the availability of the carriers. ^NV,DELIVERY_SHIPPING,easy,False,
GOLD_042,2346284,2346284,"How I feel about Amazon customer service rn @AmazonHelp @115821 #getittogetheryouguys #theholidaysarecoming #iusuallyloveyou 

https://t.co/jvk12c4M1x",,CUSTOMER_SERVICE_COMPLAINT,medium,False,
GOLD_043,2981911,2981911,@115821 @AmazonHelp Are THERE ANY REAL HUMANS our just #BOTS I CAN'T LOST DUE 2 #UPC #GTIN #ASIN #SKU #ISBN #ASI #ABC #XYZ #TGB ETC. NOT I'M LOCKED OUT #BADCUSTOMEREXPERIENCE #HELP #INSANITY https://t.co/vsek7LMUpu,,ACCOUNT_LOGIN,easy,False,
GOLD_044,2790638,2790638,@AmazonHelp is it possible to give Amazon Prime membership as a gift in the U.K.?,,PRIME_SUBSCRIPTION,easy,False,
GOLD_045,2617262,2617263,@AmazonHelp Not Shipped.,"@739717 Thanks for reaching out, Khaled! We're unable to bring up your account via Twitter, but we'd still like to help. What does the current tracking status indicate here: https://t.co/Y5jpI9gRhE? Please let us know! ^FD",DELIVERY_SHIPPING,medium,True,
GOLD_046,1955323,1955325,@AmazonHelp Maybe you should say what's eligible as just received this after speaking to your CS. They're saying delay of one day. It's taking 5 days. https://t.co/ANmUeFHsVQ,@270206 Many factors affect the date of delivery of an order. Some items are not eligible for one day delivery.^ASZ,OTHER,hard,False,
GOLD_047,2355241,2355242,@AmazonHelp When I order via Prime..No idea if its the same person.They are simply either too stupid or too lazy to locate safe place.It's a few feet from front door,@321577 I'm sorry to hear about this issue with your deliveries. Has this occurred with one carrier or multiple carriers: https://t.co/aaDyEz1VgE ^DO,PRIME_SUBSCRIPTION,easy,False,
GOLD_048,135121,135124,"@AmazonHelp On your reply ""I am Bhargav from the Amazon India's social media escalations team.I understand that you are concerned about the amazon pay balance worth Rs. 793.I request you to contact the below toll free number for the issue so that they can assist you . = .1800-3000- 2057""",@146436 Apologies for the stretch. You can find the correspondence from social media team here: https://t.co/8DAc10S7ww. Kindly reply to it and we'll sort this for you. ^VN,PAYMENT_BILLING,easy,False,
GOLD_049,2894594,2894594,@115851 @115850 Overwhelmed with joy from the amazing Amazon customer service ! Thank you. https://t.co/qwZFMtZB3m,,CUSTOMER_SERVICE_COMPLAINT,medium,False,
GOLD_050,2151877,2151877,Hey @AmazonHelp where the hell is the parcel you were supposed to deliver to @632357 this morning? This one gone missing again has it?,,DAMAGED_MISSING_ITEM,medium,False,
GOLD_051,1711433,1711435,"@AmazonHelp Yep but so far it doesn't work. Why can't I indicate it is me instead of blocking the account, the order etc","@518429 I'm sorry! What kind of problem is this? Can you log in? Any error messages? Lastly, which site are you on (.com, .co.uk, .nl)?^WT",OTHER,hard,False,
GOLD_052,477706,477710,"@AmazonHelp Asked for GC refund as I no longer have access to original CC (it's not closed, I just no longer have access) and was told that was fine. Refunds were sent to CC. I'm now £290 down...(1/2)",@228484 Without posting any personal info/account details could you describe the issue you are facing and what you have been advised? ^BD,ACCOUNT_LOGIN,easy,False,
GOLD_053,1366943,1366942,@AmazonHelp On the bright side it taught me 2 things: never order anything important from @115821 again to not renew my prime membership....,"@AmazonHelp I did for all 3, doing a 4th replacement now.  Hopefully this one can be shipped in a box, already $240 worth of damaged games...",PRIME_SUBSCRIPTION,easy,False,
GOLD_054,2822408,2822408,@AmazonHelp the worst part of amazon I want to cancel my order but it won't. This is not a good service,,ORDER_MODIFICATION,easy,False,
GOLD_055,1693621,1693622,"@AmazonHelp Already done, just letting the world (or the 5 people who actively follow me) know with this tweet.",@513966 Awesome! You can let her leadership know by filling out the survey provided at the end of the call! ^JO,OTHER,hard,False,
GOLD_056,277268,277270,"@AmazonHelp No it's a notification cos I have the Amazon app (I've seen similar things before, all for items I've never shown any interest in)",@182231 That's strange. Did you receive this message by email? ^KM,OTHER,hard,False,
GOLD_057,2811108,2811109,"@AmazonHelp When I logged in to file an inquiry, under tracking page it says ""its delayed, check back friday"". These delays are happening a lot lately! I've never had so many issues consistently with fulfillment as I have in the last 2-3 months. 6 in the last month alone",@783916 I'm sorry to hear of this. May I ask if you contacted us directly about this and if so what were you advised? ^KI,DELIVERY_SHIPPING,easy,False,
GOLD_058,1572936,1572936,Inflation is getting out of hand. @115850 https://t.co/RZL3ckKz5h,,OTHER,hard,False,
GOLD_059,2375335,2375335,@115821 hi I’m missing some deliveries.I called your customer service earlier today and was told that my packages that were “delivered” Saturday would be delivered today. Still nothing! Not sure if I’m the only customer having this issue. Please help!,,DAMAGED_MISSING_ITEM,medium,False,
GOLD_060,1265087,1265085,@AmazonHelp I have already contacted Amazon. They have marked it as returned &amp; stated that it was improperly recorded by a member of your staff! Delivery was accepted on Oct 6th &amp; signed for by a P. Barclay.. the customer rep offered their apologies &amp; a rather insulting £12 promotional code!,@416241 Please contact us so we can confirm the return status :  https://t.co/JzP7hlA23B  ^TD,REFUND_RETURN,easy,False,
GOLD_061,2935110,2935114,@244842 @115830 I dropped off 2 parcels at one of your locations. One has been returned but the other has gone missing and doesn't even exist in your tracking system. No one is responding to my return form queries?!,"Got a return to @115830 – we make it easy for you, daily from 7am. 
Choose Pass My Parcel ➡️ https://t.co/ZA5ECAI9t5 https://t.co/0OkJsyUUVy",DAMAGED_MISSING_ITEM,medium,False,
GOLD_062,2725940,2725938,@AmazonHelp Yes. That I can only cancel my bank card. THAT IS IT. But someone has an another Amazon account using my login for US.,"@764463 Hi Shannon, have you been in contact with https://t.co/ykTUEmdsQA? If so what have they advised? ^KK",ACCOUNT_LOGIN,easy,False,
GOLD_063,2460277,2460278,@AmazonHelp You're no help.,@704512 Thanks for reaching out to us! We don't have access to your account via Twitter. Please check here for returns/refunds: https://t.co/WYHOlCv0Ty ^MO,ACCOUNT_LOGIN,medium,True,
GOLD_064,811628,811628,. @115821 unwilling to provide support for a new product purch. Very poor #CustomerExperience &amp; #custserv,,CUSTOMER_SERVICE_COMPLAINT,medium,False,
GOLD_065,888382,888385,@AmazonHelp It’s nothing to do with capacity I expect the courier driver hasn’t actually attempted it or doesn’t know where he’s going. Not really acceptable though as I pay money for Prime solely because you promise a specified delivery day.,@151164 I'm so sorry your package is arriving later than expected! Sometimes carrier capacity or other unforeseen circumstances may all affect your delivery date. Have you been given a new delivery date? ^VF,DELIVERY_SHIPPING,easy,False,
GOLD_066,179407,179407,@AmazonHelp @115850 If you guyz don’t intend to deliver dont put up those bullshit sale pathetic customer support https://t.co/dxaDY9PGcP,,CUSTOMER_SERVICE_COMPLAINT,medium,False,
GOLD_067,2309333,961447,@AmazonHelp I’ve been trying for hours but it just tame me the same place. Can i get any phone number i can call please!!!,@669799 Please reach out to us here to go over available options with our Seller Support: https://t.co/0MXCHAS5tC ^CL,CUSTOMER_SERVICE_COMPLAINT,medium,False,
GOLD_068,218883,218883,"@117795 Stop charging my card, I don’t have a membership.",,PAYMENT_BILLING,easy,False,
GOLD_069,1520445,1520445,"@115830 I've used Amazon for years and yet since I paid for Prime I've been let down on several occasions.
Today's is the 3rd/last time.",,PRIME_SUBSCRIPTION,easy,False,
GOLD_070,980606,980623,"@AmazonHelp Hello. It’s ok, they have emailed now to say they will refund the money. Thank you for all your help.","@352512 for instant support, use the phone or chat feature on that link ^AS",REFUND_RETURN,easy,False,
GOLD_071,671777,671777,@AmazonHelp why do I pay for prime if it’s optional for amazon to deliver. You guys are horrible #fail #amazonsucks #customerservicefail,,PRIME_SUBSCRIPTION,easy,False,
GOLD_072,1380529,1380529,@AmazonHelp this time delivery will happen on time? https://t.co/h1JAPypBCH,,DELIVERY_SHIPPING,easy,False,
GOLD_073,1490241,1490241,@AmazonHelp ORDER # 171-3458545-0621104 - from last 5 days waiting to pic this product. pathetic service from amazon. Pls call back,,CUSTOMER_SERVICE_COMPLAINT,medium,False,
GOLD_074,845712,845712,WHEN YOURE STOKED THAT YOUR NEW @321020 from @115821 shows up AND YOU GET A LITERALLY EMPTY BOX??? 🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙂🙃🙃🙃🙃🙃🙃🙂🙂🙂🙂🙂🙂🙂 https://t.co/senLmSWgF4,,DAMAGED_MISSING_ITEM,easy,False,
GOLD_075,2538876,2538876,@115821 worst service ever in Spain. .. 3 days after and I've not received my pack I'm so disappointed,,CUSTOMER_SERVICE_COMPLAINT,medium,False,
GOLD_076,382301,382301,"@AmazonHelp My Prime membership is valid till 15th Nov, if i'll subscribe today will it be vaild till 15 nov 2018",,PRIME_SUBSCRIPTION,easy,False,
GOLD_077,2184518,2184522,@AmazonHelp Someone finally got back to me so ti is resolved. Thanks!,"@206722 I'm sorry Julian, but we don't have access to account information via Twitter. We can help look into this order for you at this link here: https://t.co/JzP7hlA23B ^VS",OTHER,hard,False,
GOLD_078,180010,180008,"@AmazonHelp I've contacted them by chat 3 times, at different times, they said it's status is ""delivered"" , but nothing came through my letterbox/mailbo",@158369 What did we say when you called? ^TR,CUSTOMER_SERVICE_COMPLAINT,medium,False,
GOLD_079,1248965,1248965,"had my friend order something for me on @115821, but she put the wrong address. and, now that house won’t even open the door. 😭😭 #crapday",,ORDER_MODIFICATION,easy,False,
GOLD_080,565857,565860,@AmazonHelp Spent 2 hours in contact with customer services on Saturday. Agent tried to initiate refund against my wishes and told me to purchase console again at full price. Next agent told me case was being investigated in 24hrs. (3/4),@252632 Hello Andy! I am so sorry about your poor experience! We would like to help in any way possible! We you contacted us what options did we provide you with? ^LS,REFUND_RETURN,easy,False,
GOLD_081,2933640,2933600,"@AmazonHelp Hi - there’s no delay, quite the opposite - you’re delivering it earlier than you said you would :)

It’s a very first world problem I’m having, I’ll be honest.

But I do still have one package coming tomorrow so now I’m in waiting both days.","@811211 Apologies for the delay, Garry. Some deliveries may take slightly longer than usual due to this busy period. What is the current status on the tracking?^CN",DELIVERY_SHIPPING,easy,False,
GOLD_082,2673422,2673420,@AmazonHelp Not what I expected when I renewed my Prime membership this year.,@752640 (2/2) Would be better positioned to assist you with the delivery issue. Please reach out to them here: https://t.co/JzP7hlA23B ^MJ,PRIME_SUBSCRIPTION,easy,False,
GOLD_083,2533240,2533240,Liebe @116316 Fahrer. Bitte erst NACHDEM der eigentliche Empfänger nicht aufgemacht hat wo anders klingeln.,,OTHER,hard,False,
GOLD_084,2260858,2260858,"Dear @116935, you make it impossible to buy the digital version over CD, and you won’t let me cancel this order. Please fix this, https://t.co/IdplmSHW9a",,ORDER_MODIFICATION,easy,False,
GOLD_085,1211205,1211205,@115821 disgusting you charge amazon prime despite cancellation. My wife had same issue two year back. Scammers. #Amazon #amazonprime,,PRIME_SUBSCRIPTION,easy,False,
GOLD_086,235176,235177,@AmazonHelp That's to bad! What's the best way to watch prime video?,"@172006 I'm sorry, but the Fire Stick and the Fire TV Stick doesn not work in Canada. ^MH",PRIME_SUBSCRIPTION,easy,False,
GOLD_087,993209,993213,@AmazonHelp Although I was asured my issue is a priority your actions din't assure the same. Delivery tym was pushed twice evn after complaning 10 times,"@355292 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. ^VN (2/2)",DELIVERY_SHIPPING,easy,False,
GOLD_088,793392,793392,"Just spent a whole 12 seconds buying my kids Halloween costume. #momwin
Thanks @115821 !",,OTHER,hard,False,
GOLD_089,885352,885372,"@AmazonHelp Hi Team,did not receive complete refund. Is this how you cheat a customer. Pls call back. @115821 @AmazonHelp @115850 @123644 @115851",@330228 Sorry for the hassle. Please share your details here: https://t.co/GIJyeYqKE0 and I'll get back to you. ^HN,REFUND_RETURN,easy,False,
GOLD_090,2578438,2578441,"@AmazonHelp I can tell you this - I’ve been told that it’s been dispatched, that it hasn’t been dispatched, that you’ve taken money from my account, and that you haven’t. Like I said, useless. Not wasting any more of my night","@731012 We'd really like to help with this, but we don't have access to your account through Twitter. Who is the carrier and what does the latest tracking update for your order show here: https://t.co/EiVamtbQ05? ^MB",CUSTOMER_SERVICE_COMPLAINT,medium,False,
GOLD_091,2614173,2614173,@AmazonHelp I didn't get Amazon keychain on prime renewal ..please arrange one,,PRIME_SUBSCRIPTION,easy,False,
GOLD_092,1709395,1709396,@AmazonHelp First my yall said my payment didn't go through now your giving me a refund for something I paid for and should have tomorrow.,"@517961 Sorry for the trouble! Without providing account/personal info, could you tell us more about the issue at hand? ^VB",REFUND_RETURN,easy,False,
GOLD_093,1195828,1195828,@115851 3/3 the shoes in the next two days and if I don’t I should call you to make other arrangements.  Cust serv not great on the phone,,CUSTOMER_SERVICE_COMPLAINT,medium,False,
GOLD_094,2847447,2847447,Hi @AmazonHelp Kinetic Sand delivered but address label &amp; Prime tape stuck over actual product (gift). If I peel off it'll look awful! Don't want wastage by getting replacement but could I have a some level of refund pls?,,REFUND_RETURN,easy,False,
